batch_index,batch_size,site_position,site_id,site,domain,previous_sitemap,sitemap_url,discovery_stage,reason,decision,crawl_complete,urls_count,pass_name,checked
2,2000,2001,eref-33035,http://www.animation-ballons.fr,animation-ballons.fr,,,no_sitemap_found,no_sitemap_found,exclude_candidate,False,0,pass-1,https://www.animation-ballons.fr/robots.txt; https://animation-ballons.fr/robots.txt; http://www.animation-ballons.fr/robots.txt; http://animation-ballons.fr/robots.txt; https://www.animation-ballons.fr/sitemap.xml; https://www.animation-ballons.fr/sitemap.xml.gz; https://www.animation-ballons.fr/sitemap_index.xml; https://www.animation-ballons.fr/sitemap-index.xml; https://www.animation-ballons.fr/sitemapindex.xml; https://www.animation-ballons.fr/wp-sitemap.xml; https://www.animation-ballons.fr/sitemaps.xml; https://www.animation-ballons.fr/sitemap.php; https://www.animation-ballons.fr/sitemap/sitemap.xml; https://www.animation-ballons.fr/sitemap/index.xml; https://www.animation-ballons.fr/index.php/sitemap.xml; https://www.animation-ballons.fr/index.php/sitemap.xml.gz; https://www.animation-ballons.fr/index.php/sitemap_index.xml; https://www.animation-ballons.fr/post-sitemap.xml; https://www.animation-ballons.fr/page-sitemap.xml; https://www.animation-ballons.fr/article-sitemap.xml; https://www.animation-ballons.fr/news-sitemap.xml; https://www.animation-ballons.fr/product-sitemap.xml; https://www.animation-ballons.fr/category-sitemap.xml; https://animation-ballons.fr/sitemap.xml; https://animation-ballons.fr/sitemap.xml.gz; https://animation-ballons.fr/sitemap_index.xml; https://animation-ballons.fr/sitemap-index.xml; https://animation-ballons.fr/sitemapindex.xml; https://animation-ballons.fr/wp-sitemap.xml; https://animation-ballons.fr/sitemaps.xml
2,2000,2001,eref-191119,https://annuaire-corse.com,annuaire-corse.com,,,no_sitemap_found,no_sitemap_found,exclude_candidate,False,0,pass-2,http://annuaire-corse.com/robots.txt; https://annuaire-corse.com/sitemap_index.xml; http://www.annuaire-corse.com/robots.txt; https://annuaire-corse.com/sitemap_index.xml; https://annuaire-corse.com/robots.txt; https://annuaire-corse.com/sitemap_index.xml; https://www.annuaire-corse.com/robots.txt; https://annuaire-corse.com/sitemap_index.xml; http://annuaire-corse.com/sitemap.xml; http://annuaire-corse.com/sitemap.xml.gz; http://annuaire-corse.com/sitemap_index.xml; http://annuaire-corse.com/sitemap-index.xml; http://annuaire-corse.com/sitemapindex.xml; http://annuaire-corse.com/wp-sitemap.xml; http://annuaire-corse.com/sitemaps.xml; http://annuaire-corse.com/sitemap.php; http://annuaire-corse.com/sitemap/sitemap.xml; http://annuaire-corse.com/sitemap/index.xml; http://annuaire-corse.com/index.php/sitemap.xml; http://annuaire-corse.com/index.php/sitemap.xml.gz; http://annuaire-corse.com/index.php/sitemap_index.xml; http://annuaire-corse.com/post-sitemap.xml; http://annuaire-corse.com/page-sitemap.xml; http://annuaire-corse.com/article-sitemap.xml; http://annuaire-corse.com/news-sitemap.xml; http://annuaire-corse.com/product-sitemap.xml; http://annuaire-corse.com/category-sitemap.xml; http://www.annuaire-corse.com/sitemap.xml; http://www.annuaire-corse.com/sitemap.xml.gz; http://www.annuaire-corse.com/sitemap_index.xml
2,2000,2002,eref-29163,https://www.annuaire-du-gratuit.net/,annuaire-du-gratuit.net,,https://annuaire-du-gratuit.net/sitemap_index.xml,common_path,http_503,retry_later,False,0,pass-2,http://annuaire-du-gratuit.net/robots.txt; http://www.annuaire-du-gratuit.net/robots.txt; https://annuaire-du-gratuit.net/robots.txt; https://www.annuaire-du-gratuit.net/robots.txt; http://annuaire-du-gratuit.net/sitemap.xml; http://annuaire-du-gratuit.net/sitemap.xml.gz; http://annuaire-du-gratuit.net/sitemap_index.xml; http://annuaire-du-gratuit.net/sitemap-index.xml; http://annuaire-du-gratuit.net/sitemapindex.xml; http://annuaire-du-gratuit.net/wp-sitemap.xml; http://annuaire-du-gratuit.net/sitemaps.xml; http://annuaire-du-gratuit.net/sitemap.php; http://annuaire-du-gratuit.net/sitemap/sitemap.xml; http://annuaire-du-gratuit.net/sitemap/index.xml; http://annuaire-du-gratuit.net/index.php/sitemap.xml; http://annuaire-du-gratuit.net/index.php/sitemap.xml.gz; http://annuaire-du-gratuit.net/index.php/sitemap_index.xml; http://annuaire-du-gratuit.net/post-sitemap.xml; http://annuaire-du-gratuit.net/page-sitemap.xml; http://annuaire-du-gratuit.net/article-sitemap.xml; http://annuaire-du-gratuit.net/news-sitemap.xml; http://annuaire-du-gratuit.net/product-sitemap.xml; http://annuaire-du-gratuit.net/category-sitemap.xml; http://www.annuaire-du-gratuit.net/sitemap.xml; http://www.annuaire-du-gratuit.net/sitemap.xml.gz; http://www.annuaire-du-gratuit.net/sitemap_index.xml; http://www.annuaire-du-gratuit.net/sitemap-index.xml; http://www.annuaire-du-gratuit.net/sitemapindex.xml; http://www.annuaire-du-gratuit.net/wp-sitemap.xml; http://www.annuaire-du-gratuit.net/sitemaps.xml
2,2000,2002,eref-97939,https://www.animation-drone.com,animation-drone.com,,https://animation-drone.com/sitemaps.xml,robots.txt,ok,ok,True,1752,pass-1,https://www.animation-drone.com/robots.txt; https://animation-drone.com/sitemaps.xml
2,2000,2003,eref-31017,http://www.animation-lannilis.org,animation-lannilis.org,,https://www.animation-lannilis.org/sitemap_index.xml,robots.txt,ok,ok,True,231,pass-1,https://animation-lannilis.org/robots.txt; https://www.animation-lannilis.org/sitemap_index.xml
2,2000,2003,eref-80215,https://annuaire-plombier-france.fr/blog/,annuaire-plombier-france.fr,,http://annuaire-plombier-france.fr/sitemap_index.xml,common_path,invalid_xml,retry_later,False,164,pass-2,http://annuaire-plombier-france.fr/robots.txt; http://annuaire-plombier-france.fr/blog/robots.txt; http://www.annuaire-plombier-france.fr/robots.txt; http://www.annuaire-plombier-france.fr/blog/robots.txt; https://annuaire-plombier-france.fr/robots.txt; https://annuaire-plombier-france.fr/blog/robots.txt; https://www.annuaire-plombier-france.fr/robots.txt; https://www.annuaire-plombier-france.fr/blog/robots.txt; http://annuaire-plombier-france.fr/sitemap.xml; http://annuaire-plombier-france.fr/sitemap.xml.gz; http://annuaire-plombier-france.fr/sitemap_index.xml
2,2000,2004,eref-205412,https://animation-robot.com/,animation-robot.com,,https://animation-robot.com/sitemaps.xml,robots.txt,ok,ok,True,1298,pass-1,https://animation-robot.com/robots.txt; https://animation-robot.com/sitemaps.xml
2,2000,2004,eref-295673,https://www.archibien.com/,archibien.com,,https://www.archibien.com/sitemap.xml,robots.txt,invalid_xml,retry_later,False,5914,pass-2,http://archibien.com/robots.txt; https://www.archibien.com/sitemap.xml
2,2000,2005,eref-138737,https://www.animation-voiture-tonneau.com/,animation-voiture-tonneau.com,,https://www.animation-voiture-tonneau.com/sitemap.xml,robots.txt,ok,ok,True,21,pass-1,https://animation-voiture-tonneau.com/robots.txt; https://www.animation-voiture-tonneau.com/sitemap.xml
2,2000,2005,eref-117756,https://ariege-eco.com,ariege-eco.com,,,no_sitemap_found,no_sitemap_found,exclude_candidate,False,0,pass-2,http://www.ariege-eco.com/robots.txt; https://ariege-eco.com/sitemap_index.xml; http://ariege-eco.com/robots.txt; https://ariege-eco.com/sitemap_index.xml; https://www.ariege-eco.com/robots.txt; https://ariege-eco.com/sitemap_index.xml; https://ariege-eco.com/robots.txt; https://ariege-eco.com/sitemap_index.xml; http://www.ariege-eco.com/sitemap.xml; http://www.ariege-eco.com/sitemap.xml.gz; http://www.ariege-eco.com/sitemap_index.xml; http://www.ariege-eco.com/sitemap-index.xml; http://www.ariege-eco.com/sitemapindex.xml; http://www.ariege-eco.com/wp-sitemap.xml; http://www.ariege-eco.com/sitemaps.xml; http://www.ariege-eco.com/sitemap.php; http://www.ariege-eco.com/sitemap/sitemap.xml; http://www.ariege-eco.com/sitemap/index.xml; http://www.ariege-eco.com/index.php/sitemap.xml; http://www.ariege-eco.com/index.php/sitemap.xml.gz; http://www.ariege-eco.com/index.php/sitemap_index.xml; http://www.ariege-eco.com/post-sitemap.xml; http://www.ariege-eco.com/page-sitemap.xml; http://www.ariege-eco.com/article-sitemap.xml; http://www.ariege-eco.com/news-sitemap.xml; http://www.ariege-eco.com/product-sitemap.xml; http://www.ariege-eco.com/category-sitemap.xml; http://ariege-eco.com/sitemap.xml; http://ariege-eco.com/sitemap.xml.gz; http://ariege-eco.com/sitemap_index.xml
